iter	RMSE
0	406540.5569
1	377303.2871
2	350617.6831
3	326516.7413
4	304377.286
5	284109.8763
6	265694.2067
7	249029.9833
8	233832.8057
9	219939.2837
10	207380.3755
11	195636.2692
12	185251.7053
13	175833.2718
14	167187.6466
15	159276.0818
16	152271.3325
17	145932.593
18	140235.8971
19	135105.2531
20	130570.5302
21	126318.2259
22	122633.1228
23	119186.8162
24	116067.5621
25	113291.0033
26	110819.6733
27	108494.1337
28	106381.7988
29	104288.9614
30	102634.0594
31	101119.855
32	99594.51277
33	98377.67861
34	97287.77791
35	96153.69797
36	95187.86173
37	94036.8195
38	93044.74922
39	92196.84971
40	91356.93015
41	90674.98983
42	90063.73946
43	89459.0812
44	88939.58376
45	88343.06677
46	87898.18565
47	87494.01737
48	87040.45679
49	86693.99266
50	86190.22081
51	85873.46515
52	85519.05528
53	85127.12322
54	84858.11983
55	84497.26443
56	84238.61209
57	83922.2319
58	83627.25588
59	83312.22482
60	83071.15502
61	82817.76507
62	82603.10154
63	82345.88587
64	82186.69748
65	81957.7123
66	81768.47337
67	81591.49237
68	81405.6435
69	81232.6649
70	81042.29328
71	80839.61851
72	80681.47795
73	80554.31419
74	80402.24721
75	79987.49044
76	79847.69904
77	79740.20767
78	79596.97538
79	79459.46019
80	79311.29187
81	78901.70047
82	78787.15217
83	78635.38448
84	78525.33808
85	78427.86812
86	78292.13757
87	78199.61832
88	78110.41003
89	78066.01564
90	77952.5099
91	77832.56479
92	77774.32484
93	77650.28828
94	77532.33008
95	77471.12183
96	77195.41676
97	77030.2178
98	76951.8486
99	76872.48128
100	76843.25166
101	76824.76039
102	76778.33555
103	76756.18149
104	76535.37649
105	76491.88938
106	76389.39693
107	76345.71712
108	76341.53408
109	76284.78947
110	76163.28633
111	76079.3679
112	76002.26018
113	75969.97952
114	75541.37354
115	75458.01508
116	75428.78125
117	75269.55968
118	75211.3723
119	74988.39836
120	74957.77585
121	74925.98074
122	74506.71531
123	74497.66633
124	74427.72671
125	74290.08926
126	74218.46588
127	74175.72578
128	74115.1465
129	73832.87173
130	73777.21113
131	73723.41385
132	73619.50906
133	73442.30419
134	73397.03396
135	73367.68312
136	73335.57222
137	73130.39926
138	73050.95234
139	73048.38803
140	72882.92745
141	72814.1981
142	72736.88827
143	72672.08931
144	72633.2273
145	72526.23071
146	72391.10264
147	72339.76473
148	72225.63809
149	72152.79149
150	72077.44207
151	72024.78829
152	71826.22197
153	71617.84016
154	71588.14369
155	71585.94707
156	71527.84496
157	71512.42779
158	71457.02506
159	71454.82684
160	71415.50246
161	71413.39664
162	71356.19374
163	71168.88712
164	71104.78906
165	71009.58676
166	70845.19075
167	70684.41587
168	70640.19629
169	70489.29113
170	70418.95137
171	70379.8315
172	70324.20835
173	70278.16984
174	70235.3921
175	70192.77139
176	70191.03769
177	70152.9698
178	70093.08581
179	69923.62233
180	69898.86396
181	69857.14444
182	69753.0506
183	69677.53221
184	69646.34711
185	69611.26025
186	69609.72713
187	69580.62596
188	69428.0094
189	69285.54825
190	69232.66117
191	69195.03645
192	69153.8649
193	69099.32497
194	69054.48637
195	69050.71025
196	69016.20538
197	68830.81032
198	68756.35491
199	68587.95836
200	68533.69797
201	68498.1914
202	68398.18872
203	68349.04617
204	68268.10694
205	68235.57984
206	68154.09872
207	68111.9684
208	68060.47729
209	67873.61759
210	67816.05278
211	67800.80586
212	67683.28355
213	67652.63319
214	67508.466
215	67465.57501
216	67464.32516
217	67457.47567
218	67424.92638
219	67400.84649
220	67369.23274
221	67324.63649
222	67274.35557
223	67267.29388
224	67255.81674
225	67252.33126
226	67244.06875
227	67214.00273
228	67194.24349
229	67173.74732
230	67156.8054
231	67154.10657
232	67151.49571
233	67114.02302
234	67100.94171
235	67068.75885
236	67041.63196
237	67023.37614
238	66994.80764
239	66883.014
240	66835.30448
241	66787.76053
242	66747.66597
243	66708.39071
244	66662.37123
245	66645.39603
246	66386.88178
247	66354.76169
248	66231.56842
249	66195.96863
250	66169.35215
251	66138.91839
252	66105.9506
253	65917.31016
254	65865.06683
255	65779.63313
256	65744.70644
257	65686.90691
258	65620.87202
259	65599.30086
260	65434.89887
261	65397.40698
262	65368.03054
263	65335.6383
264	65300.0477
265	65158.36564
266	65056.67756
267	64972.57338
268	64942.28088
269	64920.07493
270	64738.79692
271	64701.66427
272	64673.25227
273	64633.41587
274	64621.15531
275	64594.05599
276	64473.03842
277	64450.51082
278	64419.81364
279	64282.29566
280	64140.51636
281	64137.75785
282	64117.13121
283	64116.62217
284	64058.84653
285	64025.3778
286	63998.45735
287	63981.90651
288	63954.90699
289	63928.63665
290	63912.68103
291	63884.56701
292	63812.77802
293	63774.59381
294	63741.56846
295	63660.00612
296	63642.28642
297	63591.71184
298	63567.14726
299	63542.98674
300	63512.97519
301	63481.17792
302	63461.30748
303	63436.89634
304	63417.44323
